column,line,amount,month
LIABILITY,NA,NA,2004-10-01
LIABILITY,NA,NA,2004-10-01
LIABILITY,NA,NA,2004-10-01
LIABILITY,NA,NA,2004-10-01
LIABILITY,NA,NA,2004-10-01
LIABILITY,NA,NA,2004-10-01
LIABILITY,NA,NA,2004-10-01
LIABILITY,NA,NA,2004-10-01
LIABILITY,NA,NA,2004-10-01
LIABILITY,NA,NA,2004-10-01
LIABILITY,NA,NA,2004-10-01
LIABILITY,NA,NA,2004-10-01
ASSET,1,1478332146,2004-11-01
ASSET,2,1620273614,2004-11-01
ASSET,3,2609525605,2004-11-01
ASSET,4,657145662,2004-11-01
ASSET,5,1158531044,2004-11-01
ASSET,6,144696076,2004-11-01
ASSET,7,5771514505,2004-11-01
ASSET,8,9330139402,2004-11-01
ASSET,9,2136298116,2004-11-01
ASSET,10,6153056083,2004-11-01
LIABILITY,1,11623932670,2004-11-01
LIABILITY,2,2449000054,2004-11-01
LIABILITY,3,0,2004-11-01
LIABILITY,4,745293152,2004-11-01
LIABILITY,5,648226493,2004-11-01
LIABILITY,6,175155899,2004-11-01
LIABILITY,7,546988288,2004-11-01
LIABILITY,8,122943209,2004-11-01
LIABILITY,9,12605081506,2004-11-01
LIABILITY,10,1079166648,2004-11-01
LIABILITY,11,180765181,2004-11-01
LIABILITY,12,191124042,2004-11-01
LIABILITY,13,691835111,2004-11-01
ASSET,1,1430530868,2005-01-01
ASSET,2,873017819,2005-01-01
ASSET,3,1382544380,2005-01-01
ASSET,4,895315644,2005-01-01
ASSET,5,3199084698,2005-01-01
ASSET,6,662883912,2005-01-01
ASSET,7,7768406183,2005-01-01
ASSET,8,9254374380,2005-01-01
ASSET,9,1577962111,2005-01-01
ASSET,10,6624555338,2005-01-01
LIABILITY,1,11875724565,2005-01-01
LIABILITY,2,2841255395,2005-01-01
LIABILITY,3,15077000,2005-01-01
LIABILITY,4,940805781,2005-01-01
LIABILITY,5,643972834,2005-01-01
LIABILITY,6,137402748,2005-01-01
LIABILITY,7,536364014,2005-01-01
LIABILITY,8,117993482,2005-01-01
LIABILITY,9,13959065844,2005-01-01
LIABILITY,10,1063391701,2005-01-01
LIABILITY,11,785830075,2005-01-01
LIABILITY,12,125810002,2005-01-01
LIABILITY,13,625981892,2005-01-01
ASSET,1,1430550850,2005-02-01
ASSET,2,710578427,2005-02-01
ASSET,3,1428244809,2005-02-01
ASSET,4,924504481,2005-02-01
ASSET,5,3499202000,2005-02-01
ASSET,6,495063233,2005-02-01
ASSET,7,8453336306,2005-02-01
ASSET,8,9243387736,2005-02-01
ASSET,9,1640811541,2005-02-01
ASSET,10,6658966419,2005-02-01
LIABILITY,1,11935931955,2005-02-01
LIABILITY,2,2845060089,2005-02-01
LIABILITY,3,15077000,2005-02-01
LIABILITY,4,885544851,2005-02-01
LIABILITY,5,639243612,2005-02-01
LIABILITY,6,136451330,2005-02-01
LIABILITY,7,536364014,2005-02-01
LIABILITY,8,117993482,2005-02-01
LIABILITY,9,14808976246,2005-02-01
LIABILITY,10,1028503577,2005-02-01
LIABILITY,11,785832671,2005-02-01
LIABILITY,12,123685083,2005-02-01
LIABILITY,13,625981892,2005-02-01
ASSET,1,1467885272,2005-03-01
ASSET,2,645731926,2005-03-01
ASSET,3,1483003212,2005-03-01
ASSET,4,720776897,2005-03-01
ASSET,5,3328446734,2005-03-01
ASSET,6,430600036,2005-03-01
ASSET,7,9165804110,2005-03-01
ASSET,8,9254600083,2005-03-01
ASSET,9,1738870857,2005-03-01
ASSET,10,6753610706,2005-03-01
LIABILITY,1,12211943530,2005-03-01
LIABILITY,2,3101214480,2005-03-01
LIABILITY,3,15077000,2005-03-01
LIABILITY,4,836702341,2005-03-01
LIABILITY,5,645015809,2005-03-01
LIABILITY,6,131446622,2005-03-01
LIABILITY,7,542691642,2005-03-01
LIABILITY,8,120700347,2005-03-01
LIABILITY,9,14689041584,2005-03-01
