accounting_period,column,line,subline,item,amount
2002-08-31,ASSET,4,2,Claims arising from the credit facility under ERM II,0
2002-08-31,ASSET,5,1,Main refinancing operations,437367600
2002-08-31,ASSET,5,2,Longer-term refinancing operations,6000000
2002-08-31,ASSET,5,3,Fine-tuning reverse operations,0
2002-08-31,ASSET,5,4,Structural reverse operations,0
2002-08-31,ASSET,5,5,Marginal lending facility,0
2002-08-31,ASSET,5,6,Credits related to margin calls,0
2002-08-31,ASSET,6,NA,Other claims on euro area credit institutions denominated in euro,138952879
2002-08-31,ASSET,7,NA,Securities of euro area residents denominated in euro,5254419928
2002-08-31,ASSET,8,NA,General government debt denominated in euro,10534772857
2002-08-31,ASSET,9,1,Participation in the capital and reserves of the ECB,388614874
2002-08-31,ASSET,9,2,Claims equivalent to the transfer of foreign reserves to the ECB,1028200000
2002-08-31,ASSET,9,3,Claims related to promissory notes backing the issuance of ECB debt certificates,0
2002-08-31,ASSET,9,4,Claims related to TARGET accounts (net),0
2002-08-31,ASSET,9,5,Other claims within the Eurosystem,0
2002-08-31,ASSET,10,1,Premises and equipment,133212571
2002-08-31,ASSET,10,2,Sundry items,1379909306
2002-08-31,LIABILITY,1,NA,Banknotes in circulation,7525403004
2002-08-31,LIABILITY,2,1,Current accounts (covering the minimum reserve system),2003353300
2002-08-31,LIABILITY,2,2,Deposit facility,585000
2002-08-31,LIABILITY,2,3,Fixed-term deposits,0
2002-08-31,LIABILITY,2,4,Fine-tuning reverse operations,0
2002-08-31,LIABILITY,2,5,Deposits related to margin calls,0
2002-08-31,LIABILITY,3,NA,Other liabilities to euro area credit institutions denominated in euro,3304925
2002-08-31,LIABILITY,4,1,General government,644416293
2002-08-31,LIABILITY,4,2,Other liabilities,39084354
2002-08-31,LIABILITY,5,NA,Liabilities to non-euro area residents denominated in euro,678239509
2002-08-31,LIABILITY,6,NA,Liabilities to euro area residents denominated in foreign currency,337724101
2002-08-31,LIABILITY,7,1,"Deposits, balances and other liabilities",1623406599
2002-08-31,LIABILITY,7,2,Liabilities arising from the credit facility under ERM II,0
2002-08-31,LIABILITY,8,NA,Counterpart of special drawing rights allocated by the IMF,138077077
2002-08-31,LIABILITY,9,1,Liabilities related to promissory notes backing the issuance of ECB debt certificates,0
2002-08-31,LIABILITY,9,2,Liabilities related to TARGET accounts (net),15125066844
2002-08-31,LIABILITY,9,3,Other liabilities within the Eurosystem,536429575
2002-08-31,LIABILITY,10,NA,Other liabilities,1092208585
2002-08-31,LIABILITY,11,NA,Provisions,181878400
2002-08-31,LIABILITY,12,NA,Revaluation accounts,171164560
2002-08-31,LIABILITY,13,1,Capital,66746019
2002-08-31,LIABILITY,13,2,Regular reserve,49844397
2002-08-31,LIABILITY,13,3,Special reserves,2075414052
2002-09-30,ASSET,1,NA,Gold and gold receivables,1612237907
2002-09-30,ASSET,2,1,Receivables from the IMF,488598207
2002-09-30,ASSET,2,2,"Balances with banks, security investments, external loans and other external assets",7046917743
2002-09-30,ASSET,3,NA,Claims on euro area residents denominated in foreign currency,4230572521
2002-09-30,ASSET,4,1,"Balances with banks, security investments and loans",21524404
2002-09-30,ASSET,4,2,Claims arising from the credit facility under ERM II,0
2002-09-30,ASSET,5,1,Main refinancing operations,193914210
2002-09-30,ASSET,5,2,Longer-term refinancing operations,22000000
2002-09-30,ASSET,5,3,Fine-tuning reverse operations,0
2002-09-30,ASSET,5,4,Structural reverse operations,0
2002-09-30,ASSET,5,5,Marginal lending facility,0
2002-09-30,ASSET,5,6,Credits related to margin calls,0
2002-09-30,ASSET,6,NA,Other claims on euro area credit institutions denominated in euro,144429234
2002-09-30,ASSET,7,NA,Securities of euro area residents denominated in euro,5427488331
2002-09-30,ASSET,8,NA,General government debt denominated in euro,10544125223
2002-09-30,ASSET,9,1,Participation in the capital and reserves of the ECB,388614874
2002-09-30,ASSET,9,2,Claims equivalent to the transfer of foreign reserves to the ECB,1028200000
2002-09-30,ASSET,9,3,Claims related to promissory notes backing the issuance of ECB debt certificates,0
2002-09-30,ASSET,9,4,Claims related to TARGET accounts (net),0
2002-09-30,ASSET,9,5,Other claims within the Eurosystem,0
2002-09-30,ASSET,10,1,Premises and equipment,134035034
2002-09-30,ASSET,10,2,Sundry items,1258699773
2002-09-30,LIABILITY,1,NA,Banknotes in circulation,7634056571
2002-09-30,LIABILITY,2,1,Current accounts (covering the minimum reserve system),1514836166
2002-09-30,LIABILITY,2,2,Deposit facility,517000
2002-09-30,LIABILITY,2,3,Fixed-term deposits,0
2002-09-30,LIABILITY,2,4,Fine-tuning reverse operations,0
2002-09-30,LIABILITY,2,5,Deposits related to margin calls,0
2002-09-30,LIABILITY,3,NA,Other liabilities to euro area credit institutions denominated in euro,39055762
2002-09-30,LIABILITY,4,1,General government,526689283
2002-09-30,LIABILITY,4,2,Other liabilities,35909624
2002-09-30,LIABILITY,5,NA,Liabilities to non-euro area residents denominated in euro,668409656
2002-09-30,LIABILITY,6,NA,Liabilities to euro area residents denominated in foreign currency,345439347
2002-09-30,LIABILITY,7,1,"Deposits, balances and other liabilities",1615468456
2002-09-30,LIABILITY,7,2,Liabilities arising from the credit facility under ERM II,0
2002-09-30,LIABILITY,8,NA,Counterpart of special drawing rights allocated by the IMF,139059898
2002-09-30,LIABILITY,9,1,Liabilities related to promissory notes backing the issuance of ECB debt certificates,0
2002-09-30,LIABILITY,9,2,Liabilities related to TARGET accounts (net),15938780470
